model,sharpe,profit_factor,max_drawdown,cvar95
transformer,0.8134140970675431,1.6477396812166534,-2.63148457201926,-1.003507717524361
bilstm,0.4920756174212261,1.3550349769450738,-4.29332064807159,-1.0216249262835213
