datetime,open,high,low,close,volume
2019-08-12 09:30:00-04:00,9031.25,9035.5,9025.0,9026.5,1198
2019-08-12 09:35:00-04:00,9026.0,9033.25,9025.5,9031.5,1060
2019-08-12 09:40:00-04:00,9031.75,9034.5,9022.75,9023.25,935
2019-08-12 09:45:00-04:00,9022.75,9027.25,9011.25,9019.75,3207
2019-08-12 09:50:00-04:00,9019.75,9028.5,9018.0,9027.0,1005
2019-08-12 09:55:00-04:00,9027.0,9040.5,9026.0,9035.0,3039
2019-08-12 10:00:00-04:00,9035.0,9037.75,9031.0,9032.0,1375
2019-08-12 10:05:00-04:00,9032.25,9039.75,9022.5,9024.75,2814
2019-08-12 10:10:00-04:00,9025.0,9037.25,9021.75,9032.25,2599
2019-08-12 10:15:00-04:00,9032.0,9035.75,9026.5,9028.0,1687
2019-08-12 10:20:00-04:00,9028.25,9033.5,9026.0,9032.5,1140
2019-08-12 10:25:00-04:00,9032.75,9033.25,9026.0,9029.25,1040
2019-08-12 10:30:00-04:00,9029.5,9032.0,9025.5,9030.0,1605
2019-08-12 10:35:00-04:00,9029.75,9047.5,9011.75,9012.5,18747
2019-08-12 10:40:00-04:00,9012.25,9024.25,8999.25,9014.75,13042
2019-08-12 10:45:00-04:00,9014.5,9018.25,9002.25,9010.0,7788
2019-08-12 10:50:00-04:00,9010.5,9027.25,9006.25,9011.0,7489
2019-08-12 10:55:00-04:00,9010.5,9021.25,9005.25,9009.25,5593
2019-08-12 11:00:00-04:00,9009.5,9020.0,9007.5,9015.75,4745
2019-08-12 11:05:00-04:00,9015.75,9035.0,9012.5,9019.25,7827
2019-08-12 11:10:00-04:00,9019.5,9019.5,9002.25,9009.0,6523
2019-08-12 11:15:00-04:00,9008.75,9017.0,9004.5,9015.25,5356
2019-08-12 11:20:00-04:00,9015.0,9031.5,9009.75,9028.75,5922
2019-08-12 11:25:00-04:00,9029.0,9044.25,9027.75,9042.5,6497
2019-08-12 11:30:00-04:00,9042.75,9048.5,9037.0,9038.25,6438
2019-08-13 09:30:00-04:00,8964.5,8974.25,8964.25,8971.25,986
2019-08-13 09:35:00-04:00,8972.5,8972.5,8952.0,8958.75,4122
2019-08-13 09:40:00-04:00,8959.25,8959.75,8948.75,8957.75,3721
2019-08-13 09:45:00-04:00,8958.0,8964.0,8955.0,8962.25,2961
2019-08-13 09:50:00-04:00,8961.75,8963.5,8953.25,8954.5,1409
2019-08-13 09:55:00-04:00,8954.25,8963.25,8954.0,8961.75,1400
2019-08-13 10:00:00-04:00,8961.5,8967.0,8958.75,8966.25,1579
2019-08-13 10:05:00-04:00,8966.5,8968.0,8957.75,8964.25,1807
2019-08-13 10:10:00-04:00,8964.75,8969.5,8962.5,8966.25,1404
2019-08-13 10:15:00-04:00,8966.0,8971.25,8962.75,8969.5,1245
2019-08-13 10:20:00-04:00,8969.0,8978.75,8967.5,8977.25,2108
2019-08-13 10:25:00-04:00,8977.25,8981.25,8975.25,8979.0,1556
2019-08-13 10:30:00-04:00,8978.75,8986.75,8976.75,8985.25,2948
2019-08-13 10:35:00-04:00,8985.25,8990.25,8974.0,8987.5,11986
2019-08-13 10:40:00-04:00,8987.75,9048.75,8987.25,9043.25,27798
2019-08-13 10:45:00-04:00,9042.75,9049.75,9023.5,9047.5,16770
2019-08-13 10:50:00-04:00,9048.0,9168.0,9032.5,9145.25,41274
2019-08-13 10:55:00-04:00,9145.5,9164.75,9127.25,9163.5,20571
2019-08-13 11:00:00-04:00,9163.25,9193.0,9161.0,9181.75,21602
2019-08-13 11:05:00-04:00,9181.0,9184.25,9153.25,9161.25,15555
2019-08-13 11:10:00-04:00,9161.0,9171.5,9150.0,9157.5,9302
2019-08-13 11:15:00-04:00,9157.75,9164.75,9146.0,9159.5,7870
2019-08-13 11:20:00-04:00,9159.5,9187.75,9156.75,9187.75,8890
2019-08-13 11:25:00-04:00,9187.5,9188.75,9172.0,9179.5,8176
2019-08-13 11:30:00-04:00,9179.5,9208.25,9177.75,9196.0,13803
2019-08-14 09:30:00-04:00,9037.75,9052.25,9034.0,9048.5,2737
2019-08-14 09:35:00-04:00,9048.75,9051.25,9035.0,9038.5,2680
2019-08-14 09:40:00-04:00,9038.5,9044.75,9032.0,9039.25,2991
2019-08-14 09:45:00-04:00,9039.25,9045.25,9037.5,9043.5,2652
2019-08-14 09:50:00-04:00,9043.0,9048.5,9039.25,9046.25,1936
2019-08-14 09:55:00-04:00,9046.0,9051.25,9038.75,9050.5,2293
2019-08-14 10:00:00-04:00,9050.25,9057.25,9049.75,9053.25,3273
2019-08-14 10:05:00-04:00,9053.5,9058.5,9039.25,9045.5,3450
2019-08-14 10:10:00-04:00,9045.75,9048.75,9040.5,9045.75,1960
2019-08-14 10:15:00-04:00,9046.0,9048.0,9036.5,9037.0,2830
2019-08-14 10:20:00-04:00,9037.5,9039.25,9016.25,9023.5,4770
2019-08-14 10:25:00-04:00,9023.75,9030.5,9015.0,9027.5,3321
2019-08-14 10:30:00-04:00,9027.5,9034.5,9023.75,9026.0,2838
2019-08-14 10:35:00-04:00,9026.5,9051.25,9015.75,9036.25,20521
2019-08-14 10:40:00-04:00,9036.5,9053.25,9025.75,9051.75,13423
2019-08-14 10:45:00-04:00,9051.5,9051.75,9023.0,9029.75,11888
2019-08-14 10:50:00-04:00,9029.5,9029.75,9004.75,9018.5,13791
2019-08-14 10:55:00-04:00,9018.25,9044.25,9008.75,9034.0,12734
2019-08-14 11:00:00-04:00,9033.75,9046.5,9025.5,9039.0,7808
2019-08-14 11:05:00-04:00,9038.75,9040.25,9003.0,9010.5,9209
2019-08-14 11:10:00-04:00,9010.0,9021.25,9003.0,9018.25,6838
2019-08-14 11:15:00-04:00,9017.5,9017.5,8998.25,9002.5,6782
2019-08-14 11:20:00-04:00,9002.25,9012.25,8999.75,9002.0,4677
2019-08-14 11:25:00-04:00,9002.25,9018.0,9000.0,9014.25,6653
2019-08-14 11:30:00-04:00,9014.75,9027.25,9010.25,9019.5,6253
2019-08-15 09:30:00-04:00,8923.5,8938.5,8921.5,8926.0,1338
2019-08-15 09:35:00-04:00,8926.0,8953.75,8926.0,8930.5,4511
2019-08-15 09:40:00-04:00,8930.75,8946.75,8923.75,8942.75,3620
2019-08-15 09:45:00-04:00,8943.5,8949.75,8933.0,8940.75,2390
2019-08-15 09:50:00-04:00,8941.25,8959.0,8941.0,8951.0,2449
2019-08-15 09:55:00-04:00,8950.75,8961.5,8944.25,8960.0,2063
2019-08-15 10:00:00-04:00,8959.5,8967.5,8954.5,8957.0,4190
2019-08-15 10:05:00-04:00,8956.5,8960.75,8942.25,8951.75,7021
2019-08-15 10:10:00-04:00,8952.0,8967.5,8948.0,8967.0,3566
2019-08-15 10:15:00-04:00,8966.75,8968.5,8958.25,8962.5,2097
2019-08-15 10:20:00-04:00,8963.0,8963.0,8950.25,8955.25,3955
2019-08-15 10:25:00-04:00,8955.0,8959.25,8931.0,8943.0,6902
2019-08-15 10:30:00-04:00,8942.5,8944.5,8924.75,8934.5,4607
2019-08-15 10:35:00-04:00,8934.5,8954.0,8912.75,8938.25,18444
2019-08-15 10:40:00-04:00,8938.5,8943.25,8903.5,8905.0,13633
2019-08-15 10:45:00-04:00,8905.25,8918.5,8879.75,8911.0,15615
2019-08-15 10:50:00-04:00,8911.0,8938.75,8904.25,8926.0,10566
2019-08-15 10:55:00-04:00,8925.75,8936.25,8913.75,8935.0,7734
2019-08-15 11:00:00-04:00,8935.0,8943.25,8922.75,8935.5,8287
2019-08-15 11:05:00-04:00,8935.25,8946.75,8916.75,8924.75,8544
2019-08-15 11:10:00-04:00,8924.75,8930.0,8911.5,8926.5,6385
2019-08-15 11:15:00-04:00,8926.25,8947.75,8921.5,8934.75,6289
2019-08-15 11:20:00-04:00,8934.0,8943.5,8918.25,8927.5,5847
2019-08-15 11:25:00-04:00,8927.75,8936.0,8917.0,8933.75,5548
2019-08-15 11:30:00-04:00,8933.5,8942.0,8917.25,8917.25,5659
2019-08-16 09:30:00-04:00,8998.5,9001.0,8994.5,8997.0,597
2019-08-16 09:35:00-04:00,8996.5,9003.25,8993.0,8994.0,1345
2019-08-16 09:40:00-04:00,8994.25,8999.25,8991.75,8992.0,994
2019-08-16 09:45:00-04:00,8992.0,8995.25,8984.75,8986.25,1665
2019-08-16 09:50:00-04:00,8986.0,8989.25,8985.0,8986.5,1295
2019-08-16 09:55:00-04:00,8986.25,8998.75,8985.5,8997.5,2199
2019-08-16 10:00:00-04:00,8997.75,8999.5,8993.5,8993.75,1330
2019-08-16 10:05:00-04:00,8994.0,8997.5,8987.25,8990.0,1738
2019-08-16 10:10:00-04:00,8990.0,8992.75,8983.5,8985.75,1861
2019-08-16 10:15:00-04:00,8986.0,8986.75,8972.0,8976.0,3574
2019-08-16 10:20:00-04:00,8976.0,8979.5,8968.5,8974.0,3069
2019-08-16 10:25:00-04:00,8973.5,8977.25,8971.25,8971.75,1424
2019-08-16 10:30:00-04:00,8972.0,8991.5,8964.25,8975.25,6976
2019-08-16 10:35:00-04:00,8975.5,8999.25,8974.0,8995.0,13301
2019-08-16 10:40:00-04:00,8995.0,9001.25,8988.0,8988.75,7978
2019-08-16 10:45:00-04:00,8988.75,8999.5,8988.25,8988.5,6034
2019-08-16 10:50:00-04:00,8988.5,8995.5,8984.75,8986.0,6158
2019-08-16 10:55:00-04:00,8986.0,8999.25,8983.0,8992.5,5134
2019-08-16 11:00:00-04:00,8992.75,8996.25,8980.5,8989.25,4656
2019-08-16 11:05:00-04:00,8988.75,8997.5,8985.75,8996.75,4963
2019-08-16 11:10:00-04:00,8997.0,9000.5,8981.5,8986.75,6525
2019-08-16 11:15:00-04:00,8987.0,8993.75,8983.75,8991.75,4356
2019-08-16 11:20:00-04:00,8991.75,8995.5,8985.25,8986.25,3437
2019-08-16 11:25:00-04:00,8986.5,9024.75,8982.5,9014.0,20696
2019-08-16 11:30:00-04:00,9014.0,9019.75,8998.25,9001.75,8915
2019-08-19 09:30:00-04:00,9124.0,9125.0,9118.75,9123.0,1133
2019-08-19 09:35:00-04:00,9122.75,9131.5,9122.75,9130.0,1753
2019-08-19 09:40:00-04:00,9130.0,9134.5,9128.75,9132.0,1310
2019-08-19 09:45:00-04:00,9132.25,9135.75,9132.0,9134.0,1085
2019-08-19 09:50:00-04:00,9134.5,9139.25,9134.0,9138.5,1169
2019-08-19 09:55:00-04:00,9138.25,9140.5,9134.5,9135.0,1381
2019-08-19 10:00:00-04:00,9135.0,9137.75,9131.0,9135.25,1113
2019-08-19 10:05:00-04:00,9135.5,9135.5,9130.0,9130.0,927
2019-08-19 10:10:00-04:00,9130.0,9133.0,9130.0,9131.5,614
2019-08-19 10:15:00-04:00,9131.75,9134.0,9130.75,9133.25,905
2019-08-19 10:20:00-04:00,9133.0,9139.0,9132.75,9138.75,1311
2019-08-19 10:25:00-04:00,9139.0,9142.75,9137.25,9138.75,1353
2019-08-19 10:30:00-04:00,9139.25,9144.0,9134.75,9135.5,2330
2019-08-19 10:35:00-04:00,9135.5,9151.5,9135.5,9149.25,12860
2019-08-19 10:40:00-04:00,9149.25,9163.5,9149.25,9157.0,10109
2019-08-19 10:45:00-04:00,9156.75,9161.25,9150.75,9156.25,7596
2019-08-19 10:50:00-04:00,9156.0,9158.0,9142.5,9143.25,9335
2019-08-19 10:55:00-04:00,9143.5,9145.75,9133.0,9137.75,8032
2019-08-19 11:00:00-04:00,9137.5,9140.25,9133.5,9139.25,4504
2019-08-19 11:05:00-04:00,9139.25,9141.75,9130.25,9138.0,5924
2019-08-19 11:10:00-04:00,9137.75,9141.25,9127.25,9127.25,4876
2019-08-19 11:15:00-04:00,9127.5,9128.75,9114.25,9117.75,9891
2019-08-19 11:20:00-04:00,9117.75,9126.75,9114.0,9125.75,6654
2019-08-19 11:25:00-04:00,9125.75,9126.75,9120.0,9125.0,3799
2019-08-19 11:30:00-04:00,9124.75,9132.0,9122.75,9127.75,4676
2019-08-20 09:30:00-04:00,9155.5,9160.25,9153.75,9159.75,868
2019-08-20 09:35:00-04:00,9159.75,9166.0,9159.0,9163.25,1454
2019-08-20 09:40:00-04:00,9163.0,9163.5,9160.5,9161.25,778
2019-08-20 09:45:00-04:00,9161.75,9161.75,9151.5,9153.25,1813
2019-08-20 09:50:00-04:00,9153.5,9155.0,9146.0,9149.0,1906
2019-08-20 09:55:00-04:00,9149.0,9150.0,9142.25,9145.0,1817
2019-08-20 10:00:00-04:00,9144.5,9147.0,9143.0,9144.5,1031
2019-08-20 10:05:00-04:00,9144.25,9149.25,9141.25,9147.0,1872
2019-08-20 10:10:00-04:00,9146.75,9147.5,9137.25,9138.5,1718
2019-08-20 10:15:00-04:00,9138.5,9138.75,9126.5,9131.25,3923
2019-08-20 10:20:00-04:00,9131.5,9134.25,9127.5,9132.5,2162
2019-08-20 10:25:00-04:00,9132.5,9135.25,9128.0,9135.0,1901
2019-08-20 10:30:00-04:00,9134.75,9141.5,9132.0,9135.0,3750
2019-08-20 10:35:00-04:00,9135.0,9140.25,9114.75,9117.25,15025
2019-08-20 10:40:00-04:00,9117.25,9123.0,9104.0,9118.25,9322
2019-08-20 10:45:00-04:00,9118.0,9120.25,9104.75,9119.75,8165
2019-08-20 10:50:00-04:00,9119.75,9122.5,9104.5,9108.0,7026
2019-08-20 10:55:00-04:00,9107.75,9113.75,9099.25,9111.0,7101
2019-08-20 11:00:00-04:00,9111.0,9125.25,9109.25,9114.5,7089
2019-08-20 11:05:00-04:00,9114.75,9115.5,9106.0,9112.75,6391
2019-08-20 11:10:00-04:00,9112.75,9124.75,9110.75,9118.75,6411
2019-08-20 11:15:00-04:00,9119.0,9130.5,9118.75,9126.75,5699
2019-08-20 11:20:00-04:00,9127.0,9132.25,9124.75,9130.75,4345
2019-08-20 11:25:00-04:00,9131.0,9132.0,9124.5,9126.5,3605
2019-08-20 11:30:00-04:00,9126.5,9133.0,9123.25,9130.25,5076
2019-08-21 09:30:00-04:00,9148.75,9150.25,9147.0,9148.25,843
2019-08-21 09:35:00-04:00,9148.5,9150.5,9145.0,9145.5,1111
2019-08-21 09:40:00-04:00,9145.25,9147.75,9144.75,9146.25,1840
2019-08-21 09:45:00-04:00,9146.5,9148.75,9145.25,9148.25,717
2019-08-21 09:50:00-04:00,9148.25,9151.75,9146.25,9150.75,913
2019-08-21 09:55:00-04:00,9150.75,9156.75,9150.25,9152.5,1598
2019-08-21 10:00:00-04:00,9153.0,9157.75,9151.75,9157.5,1205
2019-08-21 10:05:00-04:00,9157.5,9167.75,9155.25,9167.25,3489
2019-08-21 10:10:00-04:00,9167.25,9171.25,9163.25,9164.25,2319
2019-08-21 10:15:00-04:00,9164.25,9166.5,9163.25,9164.5,1178
2019-08-21 10:20:00-04:00,9164.25,9167.0,9163.5,9163.75,1145
2019-08-21 10:25:00-04:00,9163.5,9164.25,9160.0,9160.5,1562
2019-08-21 10:30:00-04:00,9160.75,9162.75,9157.75,9161.0,2490
2019-08-21 10:35:00-04:00,9161.0,9167.5,9149.75,9155.25,14578
2019-08-21 10:40:00-04:00,9155.0,9166.25,9152.25,9163.5,6693
2019-08-21 10:45:00-04:00,9163.25,9184.5,9162.75,9179.25,10692
2019-08-21 10:50:00-04:00,9179.25,9182.5,9172.25,9176.0,6202
2019-08-21 10:55:00-04:00,9176.25,9184.0,9172.75,9176.0,6538
2019-08-21 11:00:00-04:00,9176.0,9178.75,9171.5,9176.0,4089
2019-08-21 11:05:00-04:00,9176.0,9180.75,9172.5,9175.5,4595
2019-08-21 11:10:00-04:00,9175.5,9175.75,9170.0,9170.75,3329
2019-08-21 11:15:00-04:00,9170.75,9172.0,9162.5,9165.0,4937
2019-08-21 11:20:00-04:00,9165.0,9173.25,9162.25,9171.75,3577
2019-08-21 11:25:00-04:00,9171.75,9175.5,9169.75,9173.25,3017
2019-08-21 11:30:00-04:00,9173.5,9175.5,9167.5,9168.75,3089
2019-08-22 09:30:00-04:00,9173.25,9178.25,9173.0,9177.0,761
2019-08-22 09:35:00-04:00,9176.75,9177.75,9172.5,9173.75,894
2019-08-22 09:40:00-04:00,9173.5,9175.5,9171.5,9173.0,803
